rva	name	source_file
0x00013716	_BatProc	C:\nt\private\windows\cmd\cbatch.c
0x00013806	_BatLoop	C:\nt\private\windows\cmd\cbatch.c
0x00013A36	_SetBat	C:\nt\private\windows\cmd\cbatch.c
0x00013D56	_DisplayStatement	C:\nt\private\windows\cmd\cbatch.c
0x00013FC6	_DisplayOperator	C:\nt\private\windows\cmd\cbatch.c
0x00014002	_DisplayRedirection	C:\nt\private\windows\cmd\cbatch.c
0x00014056	_OpenPosBat	C:\nt\private\windows\cmd\cbatch.c
0x000140EE	_eEcho	C:\nt\private\windows\cmd\cbatch.c
0x00014196	_FvarRestore	C:\nt\private\windows\cmd\cbatch.c
0x000141BE	_eFor	C:\nt\private\windows\cmd\cbatch.c
0x00014522	_FWork	C:\nt\private\windows\cmd\cbatch.c
0x00014582	_SubFor	C:\nt\private\windows\cmd\cbatch.c
0x0001478E	_SFWork	C:\nt\private\windows\cmd\cbatch.c
0x0001495A	_ForFree	C:\nt\private\windows\cmd\cbatch.c
0x00014982	_eGoto	C:\nt\private\windows\cmd\cbatch.c
0x00014BA6	_eIf	C:\nt\private\windows\cmd\cbatch.c
0x00014C3E	_eErrorLevel	C:\nt\private\windows\cmd\cbatch.c
0x00014C5A	_eExist	C:\nt\private\windows\cmd\cbatch.c
0x00014C6A	_eNot	C:\nt\private\windows\cmd\cbatch.c
0x00014C92	_eStrCmp	C:\nt\private\windows\cmd\cbatch.c
0x00014CD2	_ePause	C:\nt\private\windows\cmd\cbatch.c
0x00014D92	_eShift	C:\nt\private\windows\cmd\cbatch.c
0x00014E0E	_eSetlocal	C:\nt\private\windows\cmd\cbatch.c
0x00014EE6	_eEndlocal	C:\nt\private\windows\cmd\cbatch.c
0x00014F1E	_ElclWork	C:\nt\private\windows\cmd\cbatch.c
0x00014FA6	_eCall	C:\nt\private\windows\cmd\cbatch.c
0x00014FBE	_CallWork	C:\nt\private\windows\cmd\cbatch.c
0x000151F2	_eExtproc	C:\nt\private\windows\cmd\cbatch.c
0x00015206	_ExtPWork	C:\nt\private\windows\cmd\cbatch.c
